parameterization,date,smoothed_dpi,smoothed_pai
Uribe-A mode 5,1977.5,0.0779260466102073,2.09532824482398
Uribe-A mode 5,1977.75,0.0626731642793524,2.17325429143419
Uribe-A mode 5,1978,-0.00838188461986493,2.23592745571354
Uribe-A mode 5,1978.25,0.14692770051719,2.22754557109368
Uribe-A mode 5,1978.5,0.0592988427380869,2.37447327161087
Uribe-A mode 5,1978.75,0.161321083935334,2.43377211434895
Uribe-A mode 5,1979,0.0304007840710328,2.59509319828429
Uribe-A mode 5,1979.25,0.027759001286762,2.62549398235532
Uribe-A mode 5,1979.5,0.0617645344560004,2.65325298364208
Uribe-A mode 5,1979.75,0.187006429497049,2.71501751809808
Uribe-A mode 5,1980,0.113569299243965,2.90202394759513
Uribe-A mode 5,1980.25,-0.273041695785423,3.0155932468391
Uribe-A mode 5,1980.5,-0.250321005264382,2.74255155105367
Uribe-A mode 5,1980.75,0.558466320135481,2.49223054578929
Uribe-A mode 5,1981,-0.0231484723022936,3.05069686592477
Uribe-A mode 5,1981.25,-0.0739550698024688,3.02754839362248
Uribe-A mode 5,1981.5,-0.102876012166156,2.95359332382001
Uribe-A mode 5,1981.75,-0.495108566654893,2.85071731165385
Uribe-A mode 5,1982,-0.0650381244348092,2.35560874499896
Uribe-A mode 5,1982.25,-0.0410729787037646,2.29057062056415
Uribe-A mode 5,1982.5,-0.398617871602844,2.24949764186039
Uribe-A mode 5,1982.75,-0.221275974809068,1.85087977025754
Uribe-A mode 5,1983,-0.100597613257615,1.62960379544848
Uribe-A mode 5,1983.25,0.00253893048160882,1.52900618219086
Uribe-A mode 5,1983.5,0.0486710487646739,1.53154511267247
Uribe-A mode 5,1983.75,-0.0213444662324098,1.58021616143714
Uribe-A mode 5,1984,0.0177138023509729,1.55887169520473
Uribe-A mode 5,1984.25,0.0596741470592163,1.57658549755571
Uribe-A mode 5,1984.5,0.0408578046427204,1.63625964461492
Uribe-A mode 5,1984.75,-0.216059886690597,1.67711744925764
Uribe-A mode 5,1985,-0.0616037419127383,1.46105756256705
Uribe-A mode 5,1985.25,-0.0754647037574796,1.39945382065431
Uribe-A mode 5,1985.5,-0.00592591324624091,1.32398911689683
Uribe-A mode 5,1985.75,-0.00954039797339002,1.31806320365059
Uribe-A mode 5,1986,-0.0396788629692586,1.3085228056772
Uribe-A mode 5,1986.25,-0.0860993706139638,1.26884394270794
Uribe-A mode 5,1986.5,-0.0287184485067793,1.18274457209397
Uribe-A mode 5,1986.75,0.0375420782330083,1.15402612358719
Uribe-A mode 5,1987,0.0312604788338508,1.1915682018202
Uribe-A mode 5,1987.25,0.0797086218103139,1.22282868065405
Uribe-A mode 5,1987.5,0.0444973610948513,1.30253730246437
Uribe-A mode 5,1987.75,0.0593951965093555,1.34703466355922
Uribe-A mode 5,1988,-0.0109284075344174,1.40642986006857
